,perturbation,E2F_target_genes,DNA_damage_response,MAPK_pathway,PI3K_AKT_pathway,n_genes,KO_MYC,KO_TP53,HIGH_CDKN1A,KO_BRCA1,KO_KRAS,KO_PTEN,_scvi_batch,_scvi_labels,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31
0,TP53,0.960698208128966,0.4029005659914525,0.1907767256393724,0.701464814394124,308.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,non-targeting,0.1336530509462413,0.2669501410272092,0.0660721157057727,0.5293645543411627,310.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TP53,0.7136251353219561,0.7396646337889021,0.428525666771794,0.2681758205155399,303.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,non-targeting,0.6705317747287548,0.0436019198802515,0.3714260198661614,0.2235892683847814,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,non-targeting,0.0341786964292245,0.8810068022795973,0.5019251525855633,0.4939231677711995,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BRCA1,0.6646827733754401,0.2210029898218806,0.738854591184167,0.500555539308201,318.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MYC,0.0883182962132665,0.1472987438099177,0.6431913476348665,0.3524722185903595,332.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MYC,0.011092602404174,0.2770069545064226,0.8818929212954865,0.375170262409549,291.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,KRAS,0.3552573752071197,0.0653477511538662,0.3236618088603541,0.0505759980132084,315.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,non-targeting,0.2999739666541438,0.850981843136841,0.8662870324059114,0.6596125912071725,313.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MYC,0.3492032164699264,0.9499911469648412,0.8426508399368402,0.8849277724779396,328.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PTEN,0.8050680564511814,0.9455334835853004,0.7007928590663761,0.4630850366874461,315.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,KRAS,0.6700767391101204,0.9873353567370372,0.656058446746647,0.5426075858771676,331.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,non-targeting,0.44394327717668,0.142185970041714,0.0208065667477753,0.6262348037296801,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,KRAS,0.9775396534987636,0.1040152454351291,0.2011172611883287,0.4904186555219472,306.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MYC,0.0790826392107774,0.1202169771035082,0.9593940006402116,0.4842389784583605,303.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
