,perturbation,E2F_target_genes,DNA_damage_response,MAPK_pathway,PI3K_AKT_pathway,n_genes,KO_MYC,KO_TP53,HIGH_CDKN1A,KO_BRCA1,KO_KRAS,KO_PTEN,_scvi_batch,_scvi_labels,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,score_E2F_targets,score_p53_targets,score_DNA_damage,score_MAPK_ERK,score_PI3K_AKT
0,TP53,0.960698208128966,0.4029005659914525,0.1907767256393724,0.701464814394124,308.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.33315700248435687,-0.21696983834971562,-0.438704059742115,0.03547902614512344,-0.384256717136928
1,non-targeting,0.1336530509462413,0.2669501410272092,0.0660721157057727,0.5293645543411627,310.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3701484962745949,-0.2850587347279423,-0.9117367991694697,0.14464499696772148,-0.23812174115862184
2,TP53,0.7136251353219561,0.7396646337889021,0.428525666771794,0.2681758205155399,303.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9558143933614094,-0.3544876264489216,0.20469388608579298,-0.35061063969388906,0.06398432595389236
3,non-targeting,0.6705317747287548,0.0436019198802515,0.3714260198661614,0.2235892683847814,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1664472368028429,0.31623533497685963,0.06849154013174541,-0.04055129517900169,-0.39453360693795336
4,non-targeting,0.0341786964292245,0.8810068022795973,0.5019251525855633,0.4939231677711995,312.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08430553718849465,0.059027738156525844,0.39051226156729246,0.21163050063112965,0.07374788011823363
5,BRCA1,0.6646827733754401,0.2210029898218806,0.738854591184167,0.500555539308201,318.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3041896502176922,-0.34178878535395096,-0.5949541021276403,0.3973130287008082,0.22611639840262288
6,MYC,0.0883182962132665,0.1472987438099177,0.6431913476348665,0.3524722185903595,332.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.37708208649246777,-0.09424785945726488,-0.059937194541648475,0.2585474744756171,0.25341167449951163
7,MYC,0.011092602404174,0.2770069545064226,0.8818929212954865,0.375170262409549,291.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0418255064222548,-0.00969283891760786,0.23362313729745376,0.2943386280790288,0.2865284783499582
8,KRAS,0.3552573752071197,0.0653477511538662,0.3236618088603541,0.0505759980132084,315.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04869955557364003,-0.3613562791243843,0.16860065460205087,-0.44694564494680855,0.5328091757638116
9,non-targeting,0.2999739666541438,0.850981843136841,0.8662870324059114,0.6596125912071725,313.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2515774762188945,-0.08117347800213359,0.04035284607498735,0.3686971177446081,0.3832855224609375
10,MYC,0.3492032164699264,0.9499911469648412,0.8426508399368402,0.8849277724779396,328.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4606872770521375,0.04404888153076181,0.5762526194254558,0.0724844100627493,-0.3487064361572265
11,PTEN,0.8050680564511814,0.9455334835853004,0.7007928590663761,0.4630850366874461,315.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31868960062662777,0.09485294507897413,-0.4081696545636211,-0.14164144840646298,0.3083142689296179
12,KRAS,0.6700767391101204,0.9873353567370372,0.656058446746647,0.5426075858771676,331.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03365712695651579,0.08605324703714112,-0.16809675428602433,0.5427794842009848,0.30243614741734093
13,non-targeting,0.44394327717668,0.142185970041714,0.0208065667477753,0.6262348037296801,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05482399198744026,-0.3275506724481997,-0.10962924604062696,0.2451470659134236,0.28410309382847365
14,KRAS,0.9775396534987636,0.1040152454351291,0.2011172611883287,0.4904186555219472,306.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06432207602041728,-0.37101469869199,-0.48654678839224363,-0.5755644270714293,0.5935360499790734
15,MYC,0.0790826392107774,0.1202169771035082,0.9593940006402116,0.4842389784583605,303.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0706580409297235,0.5126453648442808,-0.2798211980749059,0.2885715849856114,0.12133184160505017
16,TP53,0.628887235794179,0.12412204750358,0.628116371497216,0.1133037605044294,313.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4725362212569624,0.4833743468574856,0.10637151576854564,0.14312355771977847,-0.08845871516636428
17,MYC,0.1945236872110262,0.2938690566299542,0.4998564492854801,0.3808587048607337,309.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03543309105767145,0.02591523294863496,-0.6167052021733037,-0.6122438106131046,0.2401440484183175
18,MYC,0.902649494343988,0.8374124896590192,0.3032755617913576,0.8200966454640224,310.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4867217664365415,0.5473988574484121,-0.1387110462895147,-0.996917830122278,-0.12676843915666858
19,MYC,0.6678611560276635,0.5509661842779437,0.2466755592646684,0.102286013824104,324.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1512057057133429,0.2737717421158501,-0.3059894985622831,-0.3793274899746508,0.01617355346679683
20,PTEN,0.7025890362720236,0.8231649757298263,0.2348577280362166,0.2360704782829839,310.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25693818551522707,0.42981251426365064,-0.3064114358690049,-0.1944933546350358,0.2757726124354771
21,TP53,0.5926358412329001,0.8999681937916341,0.1250654341793809,0.1149247912158347,331.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06113280543574584,0.03477923766426416,-0.09857892990112305,0.5823648249849358,-0.02364270346505304
22,TP53,0.7200996905116972,0.2429109977529804,0.5865178712708895,0.8966938405178652,315.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13099116925840026,0.0754662845445715,-0.09402790422792773,-0.3174656299834555,0.030974987574986068
23,BRCA1,0.4797501949241189,0.0956433659063267,0.6335536705206802,0.3911278028272071,302.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4039390705249928,0.41724528437075414,0.38800150553385415,-0.2522536013988739,-0.614239161355155
